City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Bambous Virieux,MU,2021-07-28 14:31:38,-20.3428,57.7575,71.22,88,75,18.41
93,Faya,SA,2021-07-28 14:31:39,18.3851,42.4509,69.91,58,81,11.16
94,Udachnyy,RU,2021-07-28 14:31:39,66.4167,112.4,74.3,57,65,13.0
95,Shingu,JP,2021-07-28 14:31:39,33.7333,135.9833,82.9,92,2,6.17
96,Outjo,NA,2021-07-28 14:31:40,-20.1167,16.15,73.67,15,0,4.12
97,Cockburn Town,TC,2021-07-28 14:31:40,21.4612,-71.1419,85.96,66,40,13.8
98,Viedma,AR,2021-07-28 14:31:40,-40.8135,-62.9967,48.51,55,10,9.17
99,Bo Rai,TH,2021-07-28 14:31:41,12.5728,102.5371,76.69,95,100,4.56
100,Port Alfred,ZA,2021-07-28 14:31:41,-33.5906,26.891,62.19,72,39,8.46
101,Veraval,IN,2021-07-28 14:31:41,20.9,70.3667,82.0,84,100,24.45
102,Igarape,BR,2021-07-28 14:31:42,-20.0703,-44.3017,80.2,25,1,10.25
103,Chivilcoy,AR,2021-07-28 14:31:40,-34.8957,-60.0167,45.95,64,76,15.01
104,Humboldt,US,2021-07-28 14:31:42,40.6665,-123.9178,47.52,45,1,1.23
105,Tasiilaq,GL,2021-07-28 14:31:43,65.6145,-37.6368,50.16,67,90,1.61
106,Hilo,US,2021-07-28 14:27:26,19.7297,-155.09,73.13,91,90,0.0
107,Kano,NG,2021-07-28 14:31:43,12.0001,8.5167,74.61,81,100,3.89
108,Ostrovnoy,RU,2021-07-28 14:31:43,68.0531,39.5131,46.42,83,100,9.22
109,Jamestown,US,2021-07-28 14:31:44,42.097,-79.2353,75.18,82,75,3.0
110,Albany,US,2021-07-28 14:27:30,42.6001,-73.9662,71.47,78,90,6.11
111,Tuktoyaktuk,CA,2021-07-28 14:31:44,69.4541,-133.0374,46.4,100,90,10.36
112,Hithadhoo,MV,2021-07-28 14:31:44,-0.6,73.0833,82.53,75,100,10.74
113,Zharkent,KZ,2021-07-28 14:31:45,44.1628,80.0,85.24,26,0,11.65
114,Lucea,JM,2021-07-28 14:31:45,18.451,-78.1736,86.86,69,99,7.7
115,Doha,QA,2021-07-28 14:29:01,25.2867,51.5333,118.71,46,100,8.05
116,Luderitz,NA,2021-07-28 14:31:46,-26.6481,15.1594,63.25,58,0,20.07
117,Cherskiy,RU,2021-07-28 14:31:46,68.75,161.3,34.48,93,86,9.91
118,Leningradskiy,RU,2021-07-28 14:31:46,69.3833,178.4167,33.22,99,100,16.2
119,North Branch,US,2021-07-28 14:31:47,45.5113,-92.9802,74.39,75,100,7.96
120,Waverley,ZA,2021-07-28 14:31:47,-25.7023,28.2591,67.32,17,0,5.75
121,Murgab,TM,2021-07-28 14:31:47,37.4966,61.9714,96.67,16,0,11.5
122,Airai,TL,2021-07-28 14:31:47,-8.9266,125.4092,57.61,64,1,3.13
123,Birjand,IR,2021-07-28 14:31:48,32.8663,59.2211,90.07,7,7,20.71
124,Lebu,CL,2021-07-28 14:31:48,-37.6167,-73.65,51.94,57,0,15.82
125,Ketchikan,US,2021-07-28 14:31:48,55.3422,-131.6461,55.87,94,75,6.91
126,Merrill,US,2021-07-28 14:30:55,45.1805,-89.6835,73.17,85,1,3.44
127,Kodiak,US,2021-07-28 14:31:49,57.79,-152.4072,54.91,71,90,0.0
128,Broken Hill,AU,2021-07-28 14:31:49,-31.95,141.4333,47.91,66,0,12.66
129,Moville,US,2021-07-28 14:31:49,42.4889,-96.0725,81.99,50,31,10.85
130,Tiznit,MA,2021-07-28 14:31:50,29.5833,-9.5,94.28,26,6,9.71
131,Gisborne,NZ,2021-07-28 14:31:50,-38.6533,178.0042,39.94,87,3,5.41
132,Northam,GB,2021-07-28 14:31:50,51.0333,-4.2167,68.02,70,7,21.07
133,Turek,PL,2021-07-28 14:31:51,52.0155,18.5005,89.98,44,87,11.86
134,Simao,CN,2021-07-28 14:31:51,22.7886,100.9748,66.81,99,91,2.1
135,Inhambane,MZ,2021-07-28 14:31:51,-23.865,35.3833,69.33,54,7,8.21
136,New Philadelphia,US,2021-07-28 14:31:52,40.4898,-81.4457,81.73,73,20,0.0
137,Castro,BR,2021-07-28 14:31:52,-24.7911,-50.0119,46.44,45,88,9.33
138,Haileybury,CA,2021-07-28 14:31:52,47.449,-79.6373,64.98,45,63,4.43
139,Sisimiut,GL,2021-07-28 14:31:09,66.9395,-53.6735,51.89,73,93,10.07
140,Haflong,IN,2021-07-28 14:31:53,25.1833,93.0333,75.69,93,82,2.8
